"cancion","album","artista","fecha_lanz","isrc","ranking_hist","puntaje","spotify_streams","spotify_playlists","spotify_alcance","spotify_pop","youtube_views","youtube_likes","tiktok_posts","tiktok_likes","tiktok_views","youtube_alcance","apple_playlists","airplay_spins","sirius_spins","deezer_playlists","deezer_alcance","amazon_playlists","pandora_streams","pandora_stations","soundcloud_streams","shazam","tidal_pop","explicito"
"What's Love Got to Do with It - 2023 Remaster","What's Love Got to Do with It (30th Anniversary Deluxe Edition)","Tina Turner",NA,"GBAYE2300351","36","230",479417905,"7",1.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"1",121250721,"83.632000000000005",NA,3692067,NA,"0"
"A Bar Song (Tipsy)","A Bar Song (Tipsy)","Shaboozey",2024-12-04,"USUYG1541249","37","226.4",311928522,"25.765999999999998",180237463,"96",62694868,837.616,NA,27811667,378313942,243895569,"149",NA,141,58,26516005,"146",21453034,"30.18",4482348,1707213,NA,"1"
"Lose Control","Lose Control","Teddy Swims",NA,"USWB12302315","38","224.1",775135157,"88.239000000000004",180617454,"87",139180960,1504385,396.56,49060857,597513595,4016801205,"215","605.84100000000001",162,133,42675181,"120",253538985,"72.429000000000002",5409388,10517831,NA,"0"
"fukumean","fukumean","Gunna",NA,"USAT22306575","39","221.1",759998727,"188.142",80392612,"80",94699547,1222012,1237229,311252391,3281790327,140623676,"123","265.291",4.003,40,2225409,"88",64456799,"20.518000000000001",33130829,3945184,NA,"1"
"Dance Monkey","Dance Monkey","Tones And I",2019-10-05,"QZES71982312","40","214.5",3071214106,"375.20100000000002",64901153,"71",3366447481,27240268,10342366,393814740,5861939942,2428166573,"549","573.73299999999995",169,584,5749770,"121",373294159,"844.19799999999998",37430204,44842636,NA,"0"
"BIRDS OF A FEATHER","HIT ME HARD AND SOFT","Billie Eilish",NA,"USUM72401994","41","212.8",214237645,"10.871",202626837,"92",11033725,251.373,251.2,71078500,443104700,148058631,"247","3.4",8,67,11523335,"125",840.442,"2.5920000000000001",1369981,285.858,NA,"0"
"Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe","Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe","sped up 8282",2023-08-04,"KRA252300672","42","211.2",170970614,"27.827000000000002",5784546,"41",22280037,334.523,14348249,948225544,12196985599,NA,"2","672",NA,4,35.737,"9",270.61,"3.17",NA,0,NA,"1"
"I'm Good (Blue)","I'm Good (Blue)","David Guetta",NA,"UKWLG2200055","43","209.6",1658229422,"262.24799999999999",239957538,"83",466080689,4324989,728.093,54258768,1051836430,1425853925,"285","935.19",2.487,207,6479623,"168",139926990,"31.234999999999999",8007236,10973120,NA,"1"
"Daylight","Daylight","David Kushner",NA,"QZXDB2300005","44","207",1126820069,"177.8",85255689,"82",274070101,3701289,2557115,285329503,2578518632,1205538057,"163","259.255",96,77,3413707,"80",28924685,"14.634",9505098,8681350,NA,"0"
"My Love Mine All Mine","The Land Is Inhospitable and So Are We","Mitski",NA,"USJ5G2335007","45","206.2",997702304,"105.92700000000001",92834002,"86",48093111,959.175,3648759,857220853,5469808282,298259422,"91","36.284999999999997",2.676,63,10874749,"110",6151267,"9.16",7980051,2682219,NA,"0"
