"cancion","album","artista","fecha_lanz","isrc","ranking_hist","puntaje","spotify_streams","spotify_playlists","spotify_alcance","spotify_pop","youtube_views","youtube_likes","tiktok_posts","tiktok_likes","tiktok_views","youtube_alcance","apple_playlists","airplay_spins","sirius_spins","deezer_playlists","deezer_alcance","amazon_playlists","pandora_streams","pandora_stations","soundcloud_streams","shazam","tidal_pop","explicito"
"I'm Yours","DDB Hitzone Best Of 2008","Jason Mraz",2008-01-01,"USEE10800667","2.1360000000000001","31.1",1878098512,"241.72499999999999",103480270,"72",359866287,1614148,117.533,21898820,175364993,1243907,"230","1.643",257,404,1238731,"84",1463624043,"938.63199999999995",NA,12571538,NA,"0"
"Going","Going","Gone",NA,"Luke Combs","6/24/2022","US6XF2100240",2.139,"31.1",192633758,"25.097000000000001",5307004,72,43607584,203.727,33.285,7739782,"45,564,333","231,390,112",12,199.434,199,"1",71,"8",130204437,8.785,NA,"420.41800000000001"
"HISS","HISS","Megan Thee Stallion",NA,"USAT22400675","2.141","31.1",80952546,"6.1040000000000001",23088210,NA,45378271,1259297,NA,603.8,3270700,617644065,"26","3",43,10,447.386,"27",13712563,"3.5680000000000001",NA,136.893,NA,"1"
"Baarish Ki Jaaye","Baarish Ki Jaaye","B Praak",NA,"INUM72100017","2.1419999999999999","31.1",53064181,"6.1630000000000003",1029980,"53",700321521,7293139,874.6,10595202,144528086,242150653,"1","40",NA,0,NA,"2",12.638,NA,NA,216.531,NA,"0"
"Company","Company","Emiway Bantai",NA,"FR2X42304449","2.1440000000000001","31.1",39899018,"2.423",691.567,"49",279246643,4502050,562.9,4399190,93470365,795.121,NA,"25",NA,0,NA,"4",NA,NA,NA,71.016,NA,"0"
"get him back!","GUTS","Olivia Rodrigo",2023-08-09,"USUG12305007","2.14","31.1",287164579,"1.732",465.956,NA,NA,NA,NA,NA,NA,NA,"15","160.631",NA,0,NA,NA,NA,NA,NA,0,NA,"0"
"LA PEOPLE","LA PEOPLE","Peso Pluma",NA,"QM7282306250","2.1429999999999998","31.1",261311116,"21.917000000000002",17543809,"75",73174350,286.276,1.153,927.518,10791305,37990067,"4","20",NA,2,4836584,"5",6592452,"5.5579999999999998",3505647,220.819,NA,"1"
"BRAZILIAN DANï¿½ï¿½A P","BRAZILIAN DANï¿½ï¿½A P","6YNTHMANE",2023-12-05,"QM6N22383605","2.137","31.1",185914923,"28.387",19122650,"72",114153936,1500822,NA,NA,NA,86472968,"1","2",NA,2,491.228,"5",313.124,"1.6060000000000001",NA,1114212,NA,"1"
"REACT","REACT","Switch Disco",NA,"GBARL2202525","2.1379999999999999","31.1",137897920,"26.625",54204917,"69",61438933,366.832,7.625,1462045,33714095,149081593,"73","122.035",7,56,995.516,"23",23.18,"59",2184490,1621052,NA,"0"
"Ocean","OCEAN","KAROL G",2019-03-05,"USUM71904901","2.149","31",312111545,"30.52",12759646,"66",722096242,5368740,2197372,51993051,661920679,25343710,"32","5.415",392,28,148.329,"19",62924532,"59.515999999999998",NA,1139084,NA,"0"
"Wrecked","Wrecked","Imagine Dragons",2021-02-07,"USUM72110166","2.153","31",309587427,"57.487000000000002",5571645,"64",199356851,1545728,13.246,4225615,34312597,318221542,"38","114.48399999999999",64,15,234.536,"31",99574335,"12.683999999999999",NA,3334562,NA,"0"
"Think U The Shit (Fart)","Think U The Shit (Fart)","Ice Spice",NA,"USUG12400704","2.1549999999999998","31",82013588,"8.3209999999999997",17390936,NA,35869265,594.381,NA,3.783,40.6,296107101,"15","428",514,12,470.265,"21",3075586,"5.5750000000000002",NA,504.447,NA,"1"
"Brown Munde","Brown Munde","AP Dhillon",NA,"TCAFC2063050","2.1480000000000001","31",267617808,"37.741",5454166,"64",756395439,7889556,222.602,15409897,182472232,NA,"20","1.7569999999999999",NA,1,1.097,"2",491.91,"1.5149999999999999",NA,557.124,NA,"0"
"Kallo(Feat.Ajay Hooda","Pooja Hooda)","Kallo(Feat.Ajay Hooda,Pooja Hooda)",NA,"10/25/2023","INT502310027","2.1459999999999999",31,"15,483,918",978,"136.80099999999999",NA,159198721,831.982,NA,NA,NA,"880,969,649","1",NA,0,NA,NA,NA,NA,NA,0,NA,NA
"pov","Positions","Ariana Grande",NA,"USUM72020441","2.1469999999999998","31",541397856,"62.957999999999998",23901981,"66",195125143,1921318,1254926,161743407,1082235761,4630208,"47","134.26300000000001",328,7,163.183,"13",54217135,"23.039000000000001",NA,1320353,NA,"0"
"Dancing On My Own","Dancing On My Own","Calum Scott",2016-11-03,"UK6KW1500205","2.1539999999999999","31",1232373956,"134.80699999999999",70718949,"74",823692209,4889435,97.136,5421535,58183913,49841169,"101","19.204999999999998",NA,41,312.677,"17",101328706,"103.883",23905057,5361735,NA,"0"
"Stay With Me","Full Circle: The Live Anthology","Sam Smith",NA,"GBUM71308833","2.1520000000000001","31",2086460781,"167.75899999999999",96423336,"77",212889507,1603354,83.399,40678590,264665397,2879491,"259","17.5",1.073,271,1178331,"92",1143671622,"717.529",NA,12655149,NA,"0"
"Back Then Right Now","Back Then Right Now","Tyler Hubbard",2023-08-09,"USUG12307215","2.15","31",26917389,"3.411",8706253,NA,2749241,22.965,18,287.407,7726317,4.054,"17","145.19200000000001",5,6,1598341,"16",19464678,"784",355.745,229.65,NA,"0"
"Boucan (feat. Franglish)","Boucan (feat. Franglish)","KeBlack",NA,"FRPZ92414500","2.145","31",21670034,"1.9890000000000001",6717297,"73",15271196,123.62,NA,NA,NA,NA,"20","2.5310000000000001",NA,22,18067425,"24",NA,NA,NA,349.565,NA,"1"
"Fulanito","Fulanito","Becky G",2021-03-06,"USRC12100954","2.1509999999999998","31",254118106,"38.979999999999997",11054219,"58",404064054,2732944,951.433,333664664,2737871422,74410741,"70","21.512",421,13,97.011,"20",13501079,"3.8519999999999999",NA,821.982,NA,"0"
"Only Love Can Hurt Like This (feat. Teddy Swims) - Remix","Only Love Can Hurt Like This (feat. Teddy Swims) - Single","Paloma Faith",NA,"GBARL2201949","2.1560000000000001","31",10296798,"1.3069999999999999",1725637,"58",11726419,125.802,3027666,1139840747,11601159321,NA,"5",NA,NA,3,62.278,NA,31.492,"62",NA,63.534,NA,"0"
"Business (feat. Naza)","Business (feat. Naza)","DYSTINCT",2023-01-06,"NL2BN2300047","2.16","30.9",74769930,"34.206000000000003",3353721,"60",72559154,484.307,50.2,1761449,36415193,34331053,"12","9.5",NA,5,72.59,NA,8.09,NA,NA,1152489,NA,"0"
"MANIAC","ODDINARY","Stray Kids",NA,"US5TA2200027","2.1629999999999998","30.9",293724552,"27.088999999999999",8506820,"68",343273995,6840494,274.4,180065845,866409009,208694354,"7","2.0409999999999999",255,6,59.109,"17",2234511,"6.3410000000000002",2091055,591.662,NA,"0"
"A Real Playa","A Real Playa - Single","Parsa Nani",NA,"GBARL2400577","2.1579999999999999","30.9",17.255,"17",64.478,NA,24.805,335,NA,NA,NA,NA,"2","23",NA,1,4.848,NA,NA,NA,1722752,1.867,NA,"0"
"Mona Lisa - Spider-Man: Across the Spider-Verse (Deluxe Edition)","Mona Lisa - Spider-Man: Across the Spider-Verse (Deluxe Edition) - Single","Dominic Fike",2023-02-06,"USQX92303644","2.1589999999999998","30.9",148686610,"37.054000000000002",15004163,"63",445.811,5.554,6.04,4875010,61668626,NA,"55","50.790999999999997",NA,10,47.339,"5",7417863,"2.2349999999999999",1273787,740.382,NA,"0"
"ADIï¿½","LA NENA DE ARGENTINA","Maria Becerra",2022-08-12,"USAT22221820","2.157","30.9",172082938,"15.951000000000001",6701830,"66",215719591,857.582,485.7,55172498,874751736,17350637,"3","11.867000000000001",456,8,414.587,"10",196.984,"127",67.782,308.507,NA,"1"
"Something About You","Something About You","Eyedress",2021-03-06,"GBMYF2000174","2.1619999999999999","30.9",438511316,"96.233000000000004",22697396,"77",27188286,573.905,150.543,73826869,434155492,1722430,"4","422",37,3,18.857,"8",1559941,"3.2749999999999999",18538652,1611142,NA,"0"
"Patadas de Ahogado","Patadas de Ahogado","LATIN MAFIA",2023-03-11,"MXF012301101","2.161","30.9",127503950,"18.981000000000002",16280436,NA,39927538,505.055,NA,NA,NA,35520584,"20","2.573",59,25,13071683,"31",164.324,"337",NA,775.879,NA,"0"
"After LIKE","After LIKE - Single","IVE",NA,"QMBZ92254957","2.169","30.8",365203093,"28.690999999999999",12128682,"69",281724902,2937674,4.455,4713841,49211096,170632648,"25","5.3780000000000001",122,6,76.475,"19",559.111,"595",NA,613.332,NA,"0"
"So Far","So Far","florias",2023-10-03,"SE5752309413","2.1640000000000001","30.8",10.554,"18",541,"10",333366384,362.004,NA,NA,NA,NA,NA,"66",NA,0,NA,NA,NA,NA,NA,275,NA,"0"
"idontwannabeyouanymore","dont smile at me","Billie Eilish",NA,"USUM71707712","2.1659999999999999","30.8",1091185920,"114.997",28172038,"72",522422864,5993528,363.386,57964177,372214292,21852096,"37","1.1120000000000001",22,14,209.449,"26",83358098,"58.216000000000001",37950780,2223597,NA,"0"
"Debo Entender","Debo Entender","Santa Fe Klan",2019-12-12,"USL4Q1967883","2.1680000000000001","30.8",335856859,"27.382999999999999",5458230,"66",917170916,6108835,288.416,19227598,332846214,4571704,"8","286",1,6,55.639,"3",12520421,"6.6529999999999996",NA,973.063,NA,"0"
"Vem Desestressar","Vem Desestressar","MC PH",2024-04-04,"BXG6R2400152","2.177","30.8",35473387,"3.4319999999999999",20567305,"69",28992482,285.938,NA,NA,NA,14913529,"4","3",NA,15,12589266,"16",34,NA,NA,38.259,NA,"1"
"Darkside","Darkside","Alan Walker",NA,"NOG841806010","2.173","30.8",596469106,"81.058000000000007",16282307,"67",919443352,9060446,155.324,14285955,127865814,254564290,"32","19.065999999999999",NA,16,125.289,"11",35950795,"54.69",NA,2538154,NA,"0"
"Call Me Every Day (feat. WizKid)","Call Me Every Day (feat. WizKid)","Chris Brown",NA,"USRC12201904","2.1739999999999999","30.8",125056212,"43.939",9282167,"61",123551829,1191440,93.2,5963103,58980168,58989712,"53","80.953999999999994",271,16,143.492,"33",25014026,"6.0949999999999998",3759210,1524739,NA,"0"
"World's Smallest Violin","OK ORCHESTRA","AJR",2021-01-01,"QMRSZ2003324","2.165","30.8",343227483,"71.195999999999998",5509068,"63",239480315,4107386,532.614,652146812,6292383402,988296994,"9","38.402000000000001",554,4,65.921,"6",8090551,"75.244",4172343,2936528,NA,"1"
"Thot Shit","Thot Shit","Megan Thee Stallion",2021-11-06,"QMCE32100339","2.1760000000000002","30.8",319372639,"63.420999999999999",26904800,"60",166781349,2497154,711.938,542884940,3757736116,50913560,"91","81.209000000000003",175,15,143.489,"39",64291360,"28.934999999999999",NA,1499357,NA,"1"
"Money Trees","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar",2012-01-01,"USUM71210785","2.1669999999999998","30.8",1476217041,"352.19799999999998",59811242,"75",385175377,3054056,1174942,197659809,1484578640,9.778,"117","188",7,32,565.677,"13",304362215,"166.654",NA,6010383,NA,"1"
"Si La Calle Llama - Remix","3MEN2 KBRN","Eladio Carrion",NA,"QM4TX2344392","2.1749999999999998","30.8",190420514,"39.948999999999998",11667012,"65",109102453,801.125,46.3,30338931,272952215,3843594,"20","692",NA,3,3.397,"4",126.414,"229",NA,315.999,NA,"1"
"Kusu Kusu (feat. Pamela Jain)","Top Hits - Single","Dev Negi",NA,"NLHR52116995","2.1709999999999998","30.8",NA,NA,NA,NA,684272012,6897951,NA,NA,NA,239634640,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"0"
"Waffle House","Waffle House","Jonas Brothers",2023-07-04,"USUG12301227","2.17","30.8",139105802,"16.161999999999999",24753071,"63",18520292,175.833,37.347,12006571,147611576,1051178417,"66","170.601",1.787,19,641.414,"17",16509877,"6.2050000000000001",NA,573.574,NA,"0"
"Tacata","Tacata","Tiagz",2023-11-08,"SGB502390555","2.1720000000000002","30.8",39715603,"13.502000000000001",1974605,"60",84439011,951.441,466.855,94227206,1032372538,389715914,NA,"55",282,1,2.078,NA,126.764,"2.097",NA,0,NA,"0"
"Got Me Started","Got Me Started","Troye Sivan",NA,"AUUM72300183","2.1800000000000002","30.7",125169958,"19.672999999999998",11567850,"5",22661967,332.818,6.72,8601376,136718693,1095965496,"60","43.542000000000002",3,29,395.765,"30",541.336,"671",NA,982.286,NA,"1"
"Low","SOS","SZA",2022-09-12,"USRC12204586","2.1779999999999999","30.7",452881574,"59.064",17662712,"73",30642267,285.15,74.165,53009405,449104323,9.997,"22","439",56,13,111.469,"1",5145081,"4.5049999999999999",NA,884.773,NA,"1"
"Night Changes","FOUR (Deluxe)","One Direction",NA,"GBHMU1400165","2.1789999999999998","30.7",1548151634,"154.32499999999999",92409509,"83",948760574,9009457,741.824,207100684,1820024186,1693474545,"66","9.6449999999999996",17,36,231.749,"19",113124423,"72.174000000000007",NA,5939223,NA,"0"
"De Los Besos Que Te Di","De Los Besos Que Te Di","Christian Nodal",NA,"MXUM71900299","2.1819999999999999","30.7",518477840,"40.920999999999999",13324377,"71",970377956,2794007,103.63,7645273,135032701,20695397,"39","9.6140000000000008",190,18,2807120,"31",57510012,"10.935",NA,1164732,NA,"0"
"BRODYAGA FUNK","BRODYAGA FUNK - EP","Eternxlkz",NA,"QMFMF2345384","2.1829999999999998","30.7",73316998,"6.8630000000000004",23952817,"75",48425342,581.515,300.7,53837087,695420301,NA,"2",NA,NA,0,NA,NA,NA,NA,NA,698.469,NA,"1"
"Private Jet","Mafia Musik","D. Savage",NA,"USUYG1464173","2.181","30.7",3608717,"3.2679999999999998",109.837,"40",340092596,5238903,442,23.97,316.425,1600044,NA,"5",NA,0,NA,NA,55.387,NA,NA,0,NA,"1"
"DNA.","DAMN.","Kendrick Lamar",NA,"USUM71703079","2.1840000000000002","30.7",1157112366,"185.66",44429618,"75",356343325,3573193,86.503,11663427,97997064,165019302,"191","340",63,45,179.785,"34",318401958,"128.72200000000001",NA,2244068,NA,"1"
"Or Nah (feat. The Weeknd","Wiz Khalifa and DJ Mustard) - Remix","Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) [Remix Version]",NA,"41918","USAT21401391","2.1970000000000001",30.6,"949,312,501",152.498,"28,278,237",74,858285365,5419110,8.535,11730568,70600246,"148,190,236","30",482,0,7,"4.1230000000000002",8,"568,114,702",286.287,0,"2,633,407",NA
"Baklava","Baklava - Single","Gya",NA,"ROGRA2400294","2.1890000000000001","30.6",5633595,"418",286.571,"61",38890559,213.288,NA,NA,NA,30591117,"2",NA,NA,1,128.64,NA,NA,NA,NA,50.894,NA,"0"
"bye","eternal sunshine","Ariana Grande",2024-08-03,"USUM72317269","2.194","30.6",127408697,"6.27",16012094,NA,14508851,207.049,NA,NA,NA,53107845,"13","1.4550000000000001",83,9,205.444,"12",633.253,"684",544.407,89.167,NA,"0"
"BIZCOCHITO","Find Your Line: Official Music from GRAN TURISMO 7","ROSALï¿½",2022-04-03,"USSM12109223","2.1920000000000002","30.6",222910969,"42.182000000000002",10406462,"61",69332188,971.738,1874811,1019396452,11257489400,20397038,"34","10.984999999999999",2.464,23,134.321,"28",3718270,"2.3559999999999999",NA,1284746,NA,"1"
"Veggie Dance","Veggie Dance","Gracie's Corner",2024-05-04,"QZHNA2455146","2.1869999999999998","30.6",2279039,"222",58.855,"55",43379343,332.023,NA,21260608,161578600,NA,"1",NA,NA,0,NA,"6",251.021,"2.7480000000000002",NA,33.195,NA,"0"
"Love Me Like You Do - From ""Fifty Shades Of Grey""","Love Me Like You Do (From ""Fifty Shades Of Grey"")","Ellie Goulding",2015-01-02,"GBUM71406823","2.1930000000000001","30.6",1532983094,"116.54600000000001",49188494,"70",48109240,469.999,452.925,63198736,732908886,NA,"216","206.66900000000001",NA,107,702.636,"78",631056114,"443.298",NA,19968269,NA,"0"
"Still Don't Know My Name","Euphoria (Original Score from the HBO Series)","Labrinth",2019-04-10,"USQX91902507","2.1850000000000001","30.6",666107710,"127.503",40134293,"71",234005957,3231466,1536372,544725899,5185694852,4405061,"71","1.1950000000000001",23,27,224.993,"9",3326824,"15.554",NA,4161911,NA,"0"
"Sittin' On Top Of The World","Sittin' On Top Of The World - Single","Burna Boy",2023-01-06,"USAT22305462","2.1960000000000002","30.6",44751795,"23.414999999999999",3622192,"55",21737557,277.948,98.682,8807279,114732862,60598905,"44","113.508",855,11,118.98,"29",6837176,"740",NA,343.757,NA,"1"
"Si Fuera Fï¿½ï¿","Si Fuera Fï¿½ï¿½cil - Si","Grupo Marca Registrada",NA,"USDXS2201491","2.1949999999999998","30.6",285183501,"28.318999999999999",13770276,"65",322857747,1566688,60.681,10855957,125822489,NA,"6","29",NA,2,194.19,"3",26370349,"3.1669999999999998",NA,411.987,NA,"0"
"Broke In A Minute","Broke In A Minute","Tory Lanez",2020-07-02,"USUM72002126","2.1859999999999999","30.6",407015049,"116.527",22947586,"70",44157454,665.741,20.568,9087023,59673227,13257357,"30","1.45",NA,32,120.194,"6",3729253,"8.4350000000000005",46033727,712.141,NA,"1"
"Mahiya Ve Gal Sun Mahiya Vey","Mahiya Ve Gal Sun Mahiya Vey - Single","Nimra Mehra",NA,"DGA0M2361023","2.19","30.6",209.649,"70",513,NA,NA,NA,1300000,3450332,65658454,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"0"
"Engana Dizendo Que Ama","Dos Prï¿½ï¿½dios De","Veigh",NA,"QZMWW2396003","2.1880000000000002","30.6",142474379,"25.47",5055407,"67",144774313,822.345,NA,NA,NA,NA,"8",NA,NA,8,328.165,"16",NA,NA,NA,153.295,NA,"1"
"In Case You Didn't Know","Brett Young EP","Brett Young",2016-01-01,"QM3E21606006","2.198","30.6",560774282,"62.305",14198815,"68",861165099,4288539,397.413,18838824,216533242,545706587,"38","80.903999999999996",36,5,8.037,"45",489345110,"250.81899999999999",2365008,3920740,NA,"0"
"Arcï¿½ï¿½ngel: Bzrp Music Sessions","Vol","Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol. 54 - Si",NA,"3/22/2023","UYB282301033","2.1909999999999998",30.6,"146,680,564",28.883,"9,546,255",62,154916805,3043720,820,136.267,1816865,"1,778,092","8",8.273,14,13,"115.41800000000001",5,"904.75599999999997",NA,590.512,"199.62799999999999",NA
"Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)","Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)","Arcï¿½ï¿½",NA,"TCACS1630643","2.1989999999999998","30.5",462055272,"54.302",17847539,"71",1546120738,7974135,360.4,75766885,648582782,563886727,"11","566",NA,7,23.122,"3",52143549,"25.408000000000001",NA,1569987,NA,"1"
"HVN ON EARTH (with Kodak Black)","HVN ON EARTH","Lil Tecca",NA,"USUM72311878","2.2010000000000001","30.5",114669893,"39.762999999999998",21760033,"60",7212572,84.826,16.9,3459451,25286791,NA,"2","2.0430000000000001",10,3,36.55,NA,1616178,"826",NA,250.753,NA,"1"
"Gently (feat. Bad Bunny)","For All The Dogs","Drake",2023-06-10,"USUG12306084","2.2040000000000002","30.5",123630149,"25.645",5218214,NA,18057785,239.269,32.27,12450697,100624699,407,"19","5.0209999999999999",340,7,140.361,"8",6544882,"1.899",NA,761.861,NA,"1"
"It Ain't Me (with Selena Gomez)","It Ain't Me (with Selena Gomez)","Kygo",NA,"SEBGA1700015","2.2050000000000001","30.5",1430439855,"150.179",55438878,"71",308045364,2768168,279.393,12505319,81779367,129321931,"210","91.638000000000005",217,110,752.307,"40",252544876,"97.039000000000001",1855783,13603866,NA,"0"
"Baarish Ban Jaana","Baarish Ban Jaana","Payal Dev",2021-03-06,"INUM72100032","2.202","30.5",70622319,"4.5540000000000003",1202197,"57",764803929,5521315,492,4.395,27.723,1955607,"3","35",NA,0,NA,NA,396,NA,NA,162.219,NA,"0"
"I CAN'T STOP ME","Eyes Wide Open","TWICE",NA,"US5TA2000134","2.2000000000000002","30.5",384886220,"32.051000000000002",9361355,"65",681682229,7966863,243.659,94368004,666762692,63358966,"31","2.8210000000000002",9,8,56.015,"7",2318090,"3.0230000000000001",2087158,643.653,NA,"0"
"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Hollywood's Bleeding","Post Malone",2019-06-09,"USUM71915731","2.2029999999999998","30.5",622690472,"108.26300000000001",18637177,"69",261237045,2753871,5.525,1874937,17207972,10067736,"36","11.662000000000001",2,10,120.387,"24",262889554,"96.599000000000004",NA,2184126,NA,"0"
"Filhaal2 Mohabbat","Filhaal2 Mohabbat","B Praak",2021-06-07,"INUM72100040","2.206","30.5",72348363,"6.3",1979759,"57",717290683,6865430,181.3,5507080,90316836,1919497,"5","247",NA,0,NA,"2",7.696,NA,NA,209.262,NA,"0"
"8am in Charlotte","For All The Dogs","Drake",2023-06-10,"USUG12306082","2.2069999999999999","30.5",81093233,"34.003999999999998",4164888,NA,4234309,51.965,17.5,1977355,17415834,NA,"7","401",1,3,135.946,NA,391.257,"932",NA,385.268,NA,"1"
"Vivir Mi Vida","3","Marc Anthony",NA,"USSD11300112","2.21","30.4",618671056,"78.822000000000003",28465181,"71",1398550208,4470299,722.663,24693560,302300755,263879004,"112","119",253,46,685.724,"56",381672102,"384.52199999999999",NA,4858889,NA,"0"
"Lullaby - BadWolf Remix","Lullaby (BadWolf Remix)","TR-MEET",NA,"DEEE72301691","2.2130000000000001","30.4",18.204,"113",5.777,"10",327499400,256.952,NA,NA,NA,NA,NA,"1",NA,0,NA,NA,NA,NA,NA,964,NA,"0"
"Love Not War (The Tampa Beat)","Love Not War (The Tampa Beat) [Remixes] (feat. Jason Derulo)","Jason Derulo",NA,"GBARL2001440","2.2120000000000002","30.4",286179073,"51.887999999999998",9569404,"59",239078390,1790062,465.64,46773428,444068106,225346751,"99","274.839",NA,28,344.794,"1",2735151,"2.0449999999999999",NA,4522347,NA,"0"
"WHERE SHE GOES","nadie sabe lo que va a pasar maï¿½ï¿","Bad Bunny",NA,"QM6P42352188","2.2080000000000002","30.4",717849037,"11.199",4402776,NA,NA,NA,NA,NA,NA,NA,"16","13",NA,0,NA,NA,22701001,"8.0389999999999997",NA,0,NA,"1"
"Lose Yourself - From ""8 Mile"" Soundtrack","8 Mile","Eminem",NA,"USIR10211559","2.222","30.4",2194935773,"345.11900000000003",97808878,"75",1360758976,9892246,69.588,1476678,20114190,339086425,"252","166.93799999999999",NA,127,3101373,"75",804134471,"703.53499999999997",NA,10419522,NA,"1"
"My Oh My","My Oh My","Ava Max",2024-04-04,"USAT22401759","2.2160000000000002","30.4",20012688,"2.3650000000000002",37158651,"1",7298437,149.857,NA,NA,NA,56157311,"51","22.792999999999999",21,21,7073401,"67",2730227,"323",116.573,142.814,NA,"0"
"Not My Fault (with Megan Thee Stallion)","Not My Fault (with Megan Thee Stallion)","Reneï¿½ï¿½",NA,"USUM72318541","2.2210000000000001","30.4",81494626,"8.9730000000000008",20213928,NA,101.469,1.338,NA,NA,NA,NA,"23","74.983999999999995",137,39,3444021,"24",2269915,"942",NA,0,NA,"1"
"willow","evermore","Taylor Swift",2020-10-12,"USUG12004699","2.2170000000000001","30.4",844790027,"67.135999999999996",50350718,"72",189534686,2729881,65.01,20896955,212587391,139953667,"167","150.38499999999999",131,29,412.109,"77",80383509,"30.416",NA,1987676,NA,"0"
"100 MESSAGGI","100 MESSAGGI","Lazza",NA,"ITUM72400349","2.2189999999999999","30.4",69972816,"5.282",6183983,"73",30283430,232.134,NA,NA,NA,59168102,"13","11.835000000000001",NA,3,3785899,"25",1.861,"2",NA,0,NA,"1"
"OUT OUT (feat. Charli XCX & Saweetie)","OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",NA,"UK4ZF2100518","2.218","30.4",509445605,"105.947",68408965,"68",21324881,168.696,2.521,849.518,16050371,NA,"124","105.328",307,72,1755222,"37",5977100,"1.482",NA,3151561,NA,"0"
"Cï¿½ï¿½","VICE VERSA","Rauw Alejandro",NA,"USSD12100296","2.2149999999999999","30.4",596905923,"83.179000000000002",20128974,"76",132634826,1011336,803.336,177757652,1408309850,12050206,"72","17.091000000000001",181,18,238.54,"25",18530463,"2.2519999999999998",NA,1086469,NA,"1"
"Whatï¿½ï¿½ï¿½","Scary Hours 2","Drake",2021-05-03,"USUG12101041","2.2200000000000002","30.4",383261731,"94.963999999999999",21697781,"62",84527592,1340886,60.864,41730155,320457752,112914243,"62","40.515000000000001",377,27,428.254,"26",55798346,"49.62",14432922,0,NA,"1"
"Turn On The Lights again.. (feat. Future)","USB","Fred again..",NA,"GBAHS2201001","2.214","30.4",190872805,"102.679",49713000,"61",4804721,64.07,89.852,35100872,435794732,NA,"44","18.922000000000001",1,16,491.915,"26",520.655,"501",6101751,1617989,NA,"0"
"Despï¿½ï¿½dase","Boca Chueca, Vol. 1","Carin Leon",2024-01-06,"USA2P2432330","2.2109999999999999","30.4",10557337,"393",42329224,"72",4595134,65.231,NA,NA,NA,2297932,"9","36",NA,6,642.021,"17",949.464,"155",1.167,110.707,NA,"1"
"Mommy","Mommy Give Me Yummy","Mommy, Mommy Give Me Yummy",NA,"4/20/2021","AEA0Q2102685","2.2090000000000001",30.4,NA,49,"4.3109999999999999",21,833736978,1346347,262,14.67,1175444,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"7.9249999999999998",NA
"Illegal Weapon","Illegal Weapon","Garry Sandhu",NA,"FRX201706358","2.2240000000000002","30.3",67999897,"12.496",2290221,"57",665109271,3531340,6938800,41338088,594821828,34439336,"12","744",NA,1,118,"3",2142970,"1.1870000000000001",NA,335.509,NA,"0"
"Starships","Crave Volume 7","Nicki Minaj",2012-01-01,"USCM51200060","2.2250000000000001","30.3",1125407888,"189.84800000000001",71457898,"73",565850053,3904912,356.199,37119709,275858975,177791254,"149","115.729",206,53,984.604,"28",393300354,"774.09699999999998",NA,10373004,NA,"1"
"Calidad","Calidad","Grupo Firme",2022-12-07,"QZDQH2257609","2.238","30.3",308915484,"18.763000000000002",9876263,"54",272892088,834.521,479.753,21899443,364940104,NA,"6","6.556",NA,1,4.392,NA,NA,NA,592.654,972.534,NA,"0"
"Watch Me","This Is A Challenge","Silento",NA,"USAT21603705","2.2229999999999999","30.3",387389363,"20",1.347,NA,2020132561,11334330,NA,NA,NA,176675712,NA,NA,1,0,NA,NA,NA,NA,NA,0,NA,"0"
"Send My Love (To Your New Lover)","25","Adele",NA,"GBBKS1500215","2.234","30.3",1064599051,"89.442999999999998",24441546,"66",997993764,6246988,66.52,38824727,261382201,1677484200,"116","19.122",108,37,295.349,"18",420137717,"93.772000000000006",NA,8268701,NA,"0"
"Chakalitos","Chakalitos","Angi Fire",NA,"USMH92305308","2.2290000000000001","30.3",14137400,"1.57",171.193,"10",221422238,1754240,NA,71,1.172,4356346,NA,"267",NA,0,NA,NA,NA,NA,NA,154.184,NA,"0"
"No Hay Nadie Mï¿½","No Hay Nadie Mï¿½","Sebastian Yatra",NA,"USUM71713890","2.2389999999999999","30.3",546219103,"43.372",12705005,"69",1289314157,6163163,274.799,25654892,222363120,223743334,"21","13.3",102,31,123.304,"18",18098372,"4.6189999999999998",NA,24.199,NA,"0"
"Rather Be (feat. Jess Glynne)","I Cry When I Laugh","Clean Bandit",2013-01-01,"GBAHS1300498","2.2360000000000002","30.3",1327093253,"188.363",58299660,"70",875568512,5009883,1072310,146302323,1196196511,528574920,"250","121.43899999999999",214,162,968.778,"78",62386418,"110.843",2123648,25620314,NA,"0"
"Into Your Arms (feat. Ava Max)","Into Your Arms (feat. Ava Max)","Witt Lowry",2018-08-06,"USAT21802013","2.2320000000000002","30.3",390529605,"68.180999999999997",10506568,"67",388438653,6747169,4480319,1314071004,15189209474,133226735,"17","8.016",12,7,9.478,"4",910.295,"3.7690000000000001",NA,9200822,NA,"1"
